z;acetoneold;acetone;methanolold;methanol;N2old;N2;xN2;yN2;xMeth;yMeth;xAc;yAc
0.031047;0.27712;0.3052;0.45922;0.4969;0.26367;0.1979;;;;;;
0.031284;0.2768;0.30509;0.45869;0.49664;0.26451;0.19828;;;;;;
0.031521;0.27648;0.30497;0.45817;0.49637;0.26535;0.19865;;;;;;
0.031758;0.27616;0.30486;0.45764;0.49611;0.2662;0.19903;;;;;;
0.031995;0.27585;0.30474;0.45712;0.49585;0.26704;0.19941;;;;;;
0.032232;0.27553;0.30462;0.45659;0.49559;0.26788;0.19979;;;;;;
0.032469;0.27521;0.30451;0.45606;0.49532;0.26872;0.20017;;;;;;
0.032706;0.27489;0.30439;0.45554;0.49506;0.26957;0.20055;;;;;;
0.032943;0.27458;0.30427;0.45501;0.49479;0.27041;0.20093;;;;;;
0.03318;0.27426;0.30415;0.45449;0.49453;0.27125;0.20132;;;;;;
0.033417;0.27394;0.30404;0.45396;0.49427;0.2721;0.2017;;;;;;
0.033654;0.27363;0.30392;0.45343;0.494;0.27294;0.20208;;;;;;
0.033891;0.27331;0.3038;0.45291;0.49373;0.27378;0.20247;;;;;;
0.034128;0.27299;0.30368;0.45238;0.49347;0.27463;0.20285;;;;;;
0.034365;0.27267;0.30356;0.45186;0.4932;0.27547;0.20324;;;;;;
0.034602;0.27236;0.30344;0.45133;0.49294;0.27631;0.20362;;;;;;
0.034839;0.27204;0.30332;0.4508;0.49267;0.27716;0.20401;;;;;;
0.035076;0.27172;0.3032;0.45028;0.4924;0.278;0.2044;;;;;;
0.035313;0.2714;0.30308;0.44975;0.49213;0.27884;0.20478;;;;;;
0.03555;0.27109;0.30296;0.44923;0.49186;0.27969;0.20517;;;;;;
0.035787;0.27077;0.30284;0.4487;0.4916;0.28053;0.20556;;;;;;
0.036024;0.27045;0.30272;0.44818;0.49133;0.28137;0.20595;;;;;;
0.036261;0.27013;0.3026;0.44765;0.49106;0.28222;0.20634;;;;;;
0.036498;0.26982;0.30248;0.44712;0.49079;0.28306;0.20673;;;;;;
0.036735;0.2695;0.30236;0.4466;0.49052;0.2839;0.20712;;;;;;
0.036972;0.26918;0.30224;0.44607;0.49025;0.28475;0.20751;;;;;;
0.037209;0.26887;0.30212;0.44555;0.48997;0.28559;0.20791;;;;;;
0.037446;0.26855;0.302;0.44502;0.4897;0.28643;0.2083;;;;;;
0.037683;0.26823;0.30187;0.44449;0.48943;0.28728;0.2087;;;;;;
0.03792;0.26791;0.30175;0.44397;0.48916;0.28812;0.20909;;;;;;
0.038157;0.2676;0.30163;0.44344;0.48889;0.28896;0.20948;;;;;;
0.038394;0.26728;0.30151;0.44292;0.48861;0.28981;0.20988;;;;;;
0.038631;0.26696;0.30138;0.44239;0.48834;0.29065;0.21028;;;;;;
0.038868;0.26664;0.30126;0.44186;0.48806;0.29149;0.21067;;;;;;
0.039105;0.26633;0.30114;0.44134;0.48779;0.29233;0.21107;;;;;;
0.039342;0.26601;0.30101;0.44081;0.48752;0.29318;0.21147;;;;;;
0.039579;0.26569;0.30089;0.44029;0.48724;0.29402;0.21187;;;;;;
0.039816;0.26537;0.30077;0.43976;0.48697;0.29486;0.21227;;;;;;
0.040053;0.26506;0.30064;0.43924;0.48669;0.29571;0.21267;;;;;;
0.04029;0.26474;0.30052;0.43871;0.48641;0.29655;0.21307;;;;;;
0.040527;0.26442;0.30039;0.43818;0.48614;0.29739;0.21347;;;;;;
0.040764;0.26411;0.30027;0.43766;0.48586;0.29824;0.21387;;;;;;
0.041001;0.26379;0.30014;0.43713;0.48558;0.29908;0.21428;;;;;;
0.041238;0.26347;0.30002;0.43661;0.4853;0.29992;0.21468;;;;;;
0.041475;0.26315;0.29989;0.43608;0.48503;0.30077;0.21508;;;;;;
0.041712;0.26284;0.29977;0.43555;0.48475;0.30161;0.21549;;;;;;
0.041949;0.26252;0.29964;0.43503;0.48447;0.30245;0.21589;;;;;;
0.042186;0.2622;0.29951;0.4345;0.48419;0.3033;0.2163;;;;;;
0.042423;0.26188;0.29939;0.43398;0.48391;0.30414;0.21671;;;;;;
0.04266;0.26157;0.29926;0.43345;0.48363;0.30498;0.21711;;;;;;
