# Residuals     
# Time          	Uy              	Uz              	p               	h               	T               
0               	N/A	N/A	N/A	N/A
0.16375         	3.54672734e-03	8.68651671e-04	2.93049950e-04	N/A	7.28901925e-04
0.165           	3.48285403e-03	8.51640866e-04	3.03607884e-04	N/A	7.19147516e-04
0.16625         	3.41432006e-03	8.35037786e-04	3.12212138e-04	N/A	7.09448497e-04
0.1675          	3.34206787e-03	8.18557123e-04	3.18740285e-04	N/A	6.99791756e-04
0.16875         	3.26324424e-03	8.02378727e-04	3.30754695e-04	N/A	6.90149675e-04
0.17            	3.18006626e-03	7.86682073e-04	3.39301540e-04	N/A	6.80496239e-04
0.17125         	3.09130247e-03	7.71299602e-04	3.43018758e-04	N/A	6.70801992e-04
0.1725          	2.99714294e-03	7.56255193e-04	3.49266480e-04	N/A	6.61034112e-04
0.17375         	2.90000553e-03	7.41709322e-04	3.53332704e-04	N/A	6.51173696e-04
0.175           	2.79876869e-03	7.27424124e-04	3.49350797e-04	N/A	6.41190557e-04
0.17625         	2.69621652e-03	7.13526006e-04	3.43129191e-04	N/A	6.31066675e-04
0.1775          	2.59424384e-03	6.99832197e-04	3.36200297e-04	N/A	6.20792554e-04
0.17875         	2.49262026e-03	6.86217771e-04	3.22889006e-04	N/A	6.10365175e-04
0.18            	2.39473344e-03	6.72718455e-04	3.06418301e-04	N/A	5.99793951e-04
0.18125         	2.30111346e-03	6.59120135e-04	2.88032964e-04	N/A	5.89099967e-04
0.1825          	2.20794065e-03	6.45582983e-04	2.70057868e-04	N/A	5.78311259e-04
0.18375         	2.11791712e-03	6.32280191e-04	2.48189349e-04	N/A	5.67466235e-04
0.185           	2.02800595e-03	6.19201966e-04	2.28630855e-04	N/A	5.56611796e-04
0.18625         	1.93509199e-03	6.06453479e-04	2.28677973e-04	N/A	5.45798875e-04
0.1875          	1.84182561e-03	5.94183345e-04	2.31642968e-04	N/A	5.35081002e-04
0.18875         	1.74699669e-03	5.82491172e-04	2.37391729e-04	N/A	5.24507643e-04
0.19            	1.65265949e-03	5.71387323e-04	2.41120482e-04	N/A	5.14122418e-04
0.19125         	1.56378294e-03	5.60979038e-04	2.41659277e-04	N/A	5.03961287e-04
0.1925          	1.47547268e-03	5.51353784e-04	2.40250512e-04	N/A	4.94050310e-04
0.19375         	1.39477310e-03	5.42393437e-04	2.35376259e-04	N/A	4.84404429e-04
0.195           	1.31991041e-03	5.34173054e-04	2.27140204e-04	N/A	4.75029009e-04
0.19625         	1.24919403e-03	5.26544793e-04	2.16715888e-04	N/A	4.65920646e-04
0.1975          	1.18368415e-03	5.19252504e-04	2.03714598e-04	N/A	4.57068339e-04
0.19875         	1.12408358e-03	5.12418640e-04	1.89023681e-04	N/A	4.48455116e-04
0.2             	1.07050376e-03	5.05704500e-04	1.73915997e-04	N/A	4.40061173e-04
0.20125         	1.02306554e-03	4.99044020e-04	1.59956754e-04	N/A	4.31864420e-04
0.2025          	9.82045988e-04	4.92433713e-04	1.48335370e-04	N/A	4.23844353e-04
0.20375         	9.46018282e-04	4.85822472e-04	1.37992849e-04	N/A	4.15982319e-04
0.205           	9.13168812e-04	4.79217241e-04	1.29493418e-04	N/A	4.08262387e-04
0.20625         	8.83921065e-04	4.72617630e-04	1.22073112e-04	N/A	4.00672936e-04
0.2075          	8.57563544e-04	4.66050867e-04	1.15918235e-04	N/A	3.93206338e-04
0.20875         	8.33167119e-04	4.59495126e-04	1.11055341e-04	N/A	3.85857248e-04
0.21            	8.11032299e-04	4.52965099e-04	1.07034558e-04	N/A	3.78623598e-04
0.21125         	7.91543148e-04	4.46473285e-04	1.03533190e-04	N/A	3.71505488e-04
0.2125          	7.74729056e-04	4.40006297e-04	1.00250140e-04	N/A	3.64504193e-04
0.21375         	7.60591112e-04	4.33577246e-04	9.70869309e-05	N/A	3.57621559e-04
0.215           	7.48927755e-04	4.27212427e-04	9.41112440e-05	N/A	3.50859371e-04
0.21625         	7.39287817e-04	4.20904594e-04	9.13598443e-05	N/A	3.44218975e-04
0.2175          	7.31189379e-04	4.14657459e-04	8.90598981e-05	N/A	3.37700905e-04
0.21875         	7.24327606e-04	4.08463202e-04	8.71551833e-05	N/A	3.31304945e-04
0.22            	7.18158042e-04	4.02321252e-04	8.55975197e-05	N/A	3.25030087e-04
0.22125         	7.12512367e-04	3.96221441e-04	8.45667194e-05	N/A	3.18874716e-04
0.2225          	7.07142063e-04	3.90165450e-04	8.35231589e-05	N/A	3.12836749e-04
0.22375         	7.02011575e-04	3.84152994e-04	8.25245291e-05	N/A	3.06913774e-04
0.225           	6.97018737e-04	3.78184625e-04	8.15200724e-05	N/A	3.01103080e-04
0.22625         	6.92220593e-04	3.72260900e-04	8.05195302e-05	N/A	2.95402031e-04
0.2275          	6.87596636e-04	3.66383640e-04	7.94998268e-05	N/A	2.89808145e-04
0.22875         	6.83103634e-04	3.60551929e-04	7.84932004e-05	N/A	2.84319063e-04
0.23            	6.77553460e-04	3.54723148e-04	7.01406183e-05	N/A	2.78932360e-04
0.23125         	6.73463138e-04	3.48962969e-04	6.92960474e-05	N/A	2.73646781e-04
0.2325          	6.69364386e-04	3.43292548e-04	6.82630240e-05	N/A	2.68459187e-04
0.23375         	6.65360320e-04	3.37656759e-04	6.72734665e-05	N/A	2.63367458e-04
0.235           	6.61417510e-04	3.32068679e-04	6.63398909e-05	N/A	2.58369697e-04
0.23625         	6.57483805e-04	3.26534759e-04	6.54407666e-05	N/A	2.53463618e-04
0.2375          	6.53559345e-04	3.21051691e-04	6.46436284e-05	N/A	2.48646886e-04
0.23875         	6.49649271e-04	3.15619772e-04	6.38809499e-05	N/A	2.43917277e-04
0.24            	6.45697705e-04	3.10241374e-04	6.32673312e-05	N/A	2.39272372e-04
0.24125         	6.41713671e-04	3.04914548e-04	6.26695154e-05	N/A	2.34709776e-04
0.2425          	6.37673898e-04	2.99641226e-04	6.21169226e-05	N/A	2.30227041e-04
0.24375         	6.33586191e-04	2.94420782e-04	6.16140006e-05	N/A	2.25821780e-04
0.245           	6.29450623e-04	2.89253422e-04	6.11561553e-05	N/A	2.21491543e-04
0.24625         	6.25266559e-04	2.84140120e-04	6.07386309e-05	N/A	2.17234022e-04
0.2475          	6.21055828e-04	2.79080673e-04	6.03594465e-05	N/A	2.13046779e-04
0.24875         	6.16808453e-04	2.74075573e-04	6.00545664e-05	N/A	2.08927539e-04
0.25            	6.12551402e-04	2.69125156e-04	5.97898831e-05	N/A	2.04874181e-04
0.25125         	6.08266926e-04	2.64229125e-04	5.95720857e-05	N/A	2.00884479e-04
0.2525          	6.03974274e-04	2.59387497e-04	5.93807033e-05	N/A	1.96956329e-04
0.25375         	5.99676905e-04	2.54600743e-04	5.92280575e-05	N/A	1.93087796e-04
0.255           	5.95354387e-04	2.49868722e-04	5.90916504e-05	N/A	1.89277051e-04
0.25625         	5.91032238e-04	2.45192338e-04	5.89623117e-05	N/A	1.85522201e-04
0.2575          	5.86682218e-04	2.40571446e-04	5.88389536e-05	N/A	1.81821523e-04
0.25875         	5.82348428e-04	2.36005878e-04	5.87231625e-05	N/A	1.78173456e-04
0.26            	5.77974551e-04	2.31496085e-04	5.86531487e-05	N/A	1.74576567e-04
0.26125         	5.73595307e-04	2.27042528e-04	5.85720647e-05	N/A	1.71029473e-04
0.2625          	5.69175818e-04	2.22644896e-04	5.84915996e-05	N/A	1.67530862e-04
0.26375         	5.64748934e-04	2.18303008e-04	5.83917978e-05	N/A	1.64079543e-04
0.265           	5.60278462e-04	2.14017602e-04	5.82814348e-05	N/A	1.60674475e-04
0.26625         	5.55753484e-04	2.09788012e-04	5.81529958e-05	N/A	1.57314783e-04
0.2675          	5.51181216e-04	2.05614135e-04	5.80204284e-05	N/A	1.53999629e-04
0.26875         	5.46547257e-04	2.01496428e-04	5.78646477e-05	N/A	1.50728283e-04
0.27            	5.41841020e-04	1.97433321e-04	5.76921783e-05	N/A	1.47500107e-04
0.27125         	5.37050360e-04	1.93426384e-04	5.74970523e-05	N/A	1.44314558e-04
0.2725          	5.32163173e-04	1.89473284e-04	5.72745728e-05	N/A	1.41171142e-04
0.27375         	5.27173908e-04	1.85575776e-04	5.70203119e-05	N/A	1.38069495e-04
0.275           	5.22085290e-04	1.81732697e-04	5.67462856e-05	N/A	1.35009375e-04
0.27625         	5.16895963e-04	1.77944190e-04	5.64526833e-05	N/A	1.31990568e-04
0.2775          	5.11605252e-04	1.74209693e-04	5.61277585e-05	N/A	1.29012922e-04
0.27875         	5.06214451e-04	1.70529744e-04	5.57860529e-05	N/A	1.26076343e-04
0.28            	5.00723882e-04	1.66904079e-04	5.54435045e-05	N/A	1.23180786e-04
0.28125         	4.95135576e-04	1.63332102e-04	5.50684607e-05	N/A	1.20326253e-04
0.2825          	4.89456716e-04	1.59813809e-04	5.46852226e-05	N/A	1.17512785e-04
0.28375         	4.83680829e-04	1.56349694e-04	5.42475503e-05	N/A	1.14740454e-04
0.285           	4.77819539e-04	1.52939550e-04	5.38113138e-05	N/A	1.12009357e-04
0.28625         	4.71873481e-04	1.49582135e-04	5.33354037e-05	N/A	1.09319597e-04
0.2875          	4.65847527e-04	1.46278414e-04	5.28509661e-05	N/A	1.06671298e-04
0.28875         	4.59740469e-04	1.43027606e-04	5.23461501e-05	N/A	1.04064603e-04
0.29            	4.53566301e-04	1.39830468e-04	5.18282695e-05	N/A	1.01499670e-04
0.29125         	4.47325478e-04	1.36685688e-04	5.12853206e-05	N/A	9.89766404e-05
0.2925          	4.41022461e-04	1.33593470e-04	5.07309296e-05	N/A	9.64956415e-05
0.29375         	4.34662597e-04	1.30554020e-04	5.01494391e-05	N/A	9.40567949e-05
0.295           	4.28257391e-04	1.27566670e-04	4.95610803e-05	N/A	9.16602047e-05
0.29625         	4.21803423e-04	1.24630819e-04	4.89536795e-05	N/A	8.93059560e-05
0.2975          	4.15313990e-04	1.21747621e-04	4.83329352e-05	N/A	8.69941176e-05
0.29875         	4.08794372e-04	1.18914734e-04	4.77046477e-05	N/A	8.47247235e-05
0.3             	4.02246842e-04	1.16133637e-04	4.70577808e-05	N/A	8.24977938e-05
