# Residuals     
# Time          	Uy              	Uz              	p               	h               	T               
0               	N/A	N/A	N/A	N/A
0.18375         	2.11823198e-03	6.32298121e-04	2.46140189e-04	5.67428694e-04	N/A
0.185           	2.02829601e-03	6.19217234e-04	2.26691256e-04	5.56574953e-04	N/A
0.18625         	1.93536732e-03	6.06469471e-04	2.27064399e-04	5.45762524e-04	N/A
0.1875          	1.84207821e-03	5.94200290e-04	2.30400630e-04	5.35044475e-04	N/A
0.18875         	1.74722446e-03	5.82508596e-04	2.36156685e-04	5.24470124e-04	N/A
0.19            	1.65285986e-03	5.71405118e-04	2.40350990e-04	5.14083874e-04	N/A
0.19125         	1.56395669e-03	5.60997617e-04	2.41327891e-04	5.03921581e-04	N/A
0.1925          	1.47562710e-03	5.51372971e-04	2.40241810e-04	4.94009619e-04	N/A
0.19375         	1.39490823e-03	5.42413073e-04	2.35579735e-04	4.84362879e-04	N/A
0.195           	1.32003010e-03	5.34193199e-04	2.27927578e-04	4.74987513e-04	N/A
0.19625         	1.24930652e-03	5.26564931e-04	2.18036774e-04	4.65880157e-04	N/A
0.1975          	1.18379590e-03	5.19272688e-04	2.05537667e-04	4.57029530e-04	N/A
0.19875         	1.12419215e-03	5.12439214e-04	1.91319156e-04	4.48418444e-04	N/A
0.2             	1.07061088e-03	5.05724428e-04	1.76567972e-04	4.40026900e-04	N/A
0.20125         	1.02317804e-03	4.99063784e-04	1.63064596e-04	4.31832596e-04	N/A
0.2025          	9.82155735e-04	4.92453441e-04	1.51672813e-04	4.23814840e-04	N/A
0.20375         	9.46123755e-04	4.85841730e-04	1.41482263e-04	4.15954732e-04	N/A
0.205           	9.13263418e-04	4.79235762e-04	1.33156200e-04	4.08236381e-04	N/A
0.20625         	8.84008112e-04	4.72635991e-04	1.25820772e-04	4.00648169e-04	N/A
0.2075          	8.57636654e-04	4.66069431e-04	1.20001096e-04	3.93182369e-04	N/A
0.20875         	8.33222756e-04	4.59512885e-04	1.15269822e-04	3.85833705e-04	N/A
