"DEff","Mg","N2","N2Mass","T","U:0","U:1","U:2","UD:0","UD:1","UD:2","acetone","acetoneMass","epsEff","methanol","methanolMass","p","rho","sumWithoutRef","sumZones","phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.372e-05,0.038763,0.22235,0.16061,328,-4.8777e-10,0,0,0.00028136,0,0,0.29267,0.43851,1,0.48499,0.40087,99400,1.4128,0.83939,0,nan,1,0.019434,0.019434,0.0005,0.0005
1.372e-05,0.038751,0.22319,0.16127,328,-4.8677e-10,0,0,0.0002803,0,0,0.29235,0.43817,1,0.48446,0.40056,99400,1.4124,0.83873,0,nan,1,0.019671,0.019671,0.0005,0.0005
1.372e-05,0.038739,0.22403,0.16193,328,-4.8578e-10,0,0,0.00027924,0,0,0.29203,0.43783,1,0.48393,0.40024,99400,1.412,0.83807,0,nan,1,0.019908,0.019908,0.0005,0.0005
1.372e-05,0.038728,0.22488,0.16259,328,-4.8479e-10,0,0,0.00027818,0,0,0.29171,0.43748,1,0.48341,0.39993,99400,1.4116,0.83741,0,nan,1,0.020145,0.020145,0.0005,0.0005
1.372e-05,0.038716,0.22572,0.16325,328,-4.5764e-10,0,0,0.00027714,0,0,0.2914,0.43714,1,0.48288,0.39962,99400,1.4111,0.83675,0,nan,1,0.020382,0.020382,0.0005,0.0005
1.372e-05,0.038704,0.22656,0.16391,328,-4.1587e-10,0,0,0.00027612,0,0,0.29108,0.43679,1,0.48236,0.3993,99400,1.4107,0.83609,0,nan,1,0.020619,0.020619,0.0005,0.0005
1.372e-05,0.038693,0.22741,0.16457,328,-3.7409e-10,0,0,0.0002751,0,0,0.29076,0.43645,1,0.48183,0.39899,99400,1.4103,0.83543,0,nan,1,0.020856,0.020856,0.0005,0.0005
1.372e-05,0.038681,0.22825,0.16523,328,-3.3232e-10,0,0,0.00027408,0,0,0.29044,0.4361,1,0.48131,0.39867,99400,1.4099,0.83477,0,nan,1,0.021093,0.021093,0.0005,0.0005
1.372e-05,0.038669,0.22909,0.16589,328,-2.9054e-10,0,0,0.00027306,0,0,0.29013,0.43576,1,0.48078,0.39836,99400,1.4094,0.83411,0,nan,1,0.02133,0.02133,0.0005,0.0005
1.372e-05,0.038658,0.22994,0.16655,328,-2.3682e-10,0,0,0.00027206,0,0,0.28981,0.43541,1,0.48025,0.39804,99400,1.409,0.83345,0,nan,1,0.021567,0.021567,0.0005,0.0005
1.372e-05,0.038646,0.23078,0.16721,328,-1.7577e-10,0,0,0.00027108,0,0,0.28949,0.43507,1,0.47973,0.39772,99400,1.4086,0.83279,0,nan,1,0.021804,0.021804,0.0005,0.0005
1.372e-05,0.038634,0.23162,0.16787,328,-1.1473e-10,0,0,0.00027009,0,0,0.28917,0.43472,1,0.4792,0.39741,99400,1.4082,0.83213,0,nan,1,0.022041,0.022041,0.0005,0.0005
1.372e-05,0.038623,0.23247,0.16853,328,-5.3689e-11,0,0,0.00026911,0,0,0.28886,0.43438,1,0.47868,0.39709,99400,1.4077,0.83147,0,nan,1,0.022278,0.022278,0.0005,0.0005
1.372e-05,0.038611,0.23331,0.16919,328,7.3543e-12,0,0,0.00026812,0,0,0.28854,0.43403,1,0.47815,0.39678,99400,1.4073,0.83081,0,nan,1,0.022515,0.022515,0.0005,0.0005
1.372e-05,0.038599,0.23415,0.16986,328,6.3948e-11,0,0,0.00026716,0,0,0.28822,0.43368,1,0.47762,0.39646,99400,1.4069,0.83014,0,nan,1,0.022752,0.022752,0.0005,0.0005
1.372e-05,0.038588,0.235,0.17052,328,1.1757e-10,0,0,0.00026621,0,0,0.28791,0.43334,1,0.4771,0.39614,99400,1.4065,0.82948,0,nan,1,0.022989,0.022989,0.0005,0.0005
1.372e-05,0.038576,0.23584,0.17118,328,1.7118e-10,0,0,0.00026526,0,0,0.28759,0.43299,1,0.47657,0.39582,99400,1.406,0.82882,0,nan,1,0.023226,0.023226,0.0005,0.0005
